--------------------
Worker: Wallace, level: 31, craft time coefficient: 0.41
Worker: Julia, level: 31, craft time coefficient: 0.41
Worker: Allan, level: 29, craft time coefficient: 0.43
Worker: Maribel, level: 29, craft time coefficient: 0.43
Worker: Grimar, level: 30, craft time coefficient: 0.43
Worker: Katarina, level: 29, craft time coefficient: 0.43
Worker: Freyja, level: 29, craft time coefficient: 0.43
Worker: Theodore, level: 31, craft time coefficient: 0.41
Worker: Evelyn, level: 30, craft time coefficient: 0.43
Worker: Roxanne, level: 27, craft time coefficient: 0.46
--------------------
Building IronMine, level: 16, regen rate: 22.88
Building Lumberyard, level: 16, regen rate: 22.88
Building Tannery, level: 16, regen rate: 22.88
Building Garden, level: 16, regen rate: 22.88
Building Smelter, level: 15, regen rate: 6.15
Building Sawmill, level: 15, regen rate: 6.15
Building WeaverMill, level: 15, regen rate: 6.15
Building OilPress, level: 15, regen rate: 6.15
Building EtherWell, level: 15, regen rate: 1.2
Building JewelStorehouse, level: 15, regen rate: 1.2
--------------------
             name             |           value/minute/slot            |           profit/minute/slot           |            iron/minute/slot            |            wood/minute/slot            |          leather/minute/slot           |           herbs/minute/slot            |           steel/minute/slot            |          ironwood/minute/slot          |           fabric/minute/slot           |            oils/minute/slot            |           ether/minute/slot            |           jewels/minute/slot           |               value/iron               |               value/wood               |             value/leather              |              value/herbs               |              value/steel               |             value/ironwood             |              value/fabric              |               value/oils               |              value/ether               |              value/jewels              |
        Seafarer Blade        |                4138.95                 |                4138.95                 |                 1.734                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.489                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.079                  |                2386.364                |                  0.0                   |                  0.0                   |                  0.0                   |                8467.742                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                52500.0                 |
       Gentleman Blade        |                4170.626                |                4170.626                |                 1.622                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.49                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.084                  |                  0.0                   |                2571.615                |                  0.0                   |                  0.0                   |                  0.0                   |                8512.931                |                  0.0                   |                  0.0                   |                  0.0                   |                49375.0                 |                  0.0                   |
      Oversized Cleaver       |               10751.427                |               10751.427                |                 3.298                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.938                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.171                  |                3259.698                |                  0.0                   |                  0.0                   |                  0.0                   |               11458.333                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               63020.833                |
          Caladbolg           |                9458.437                |                9458.437                |                 2.943                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.045                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.156                  |                3214.286                |                  0.0                   |                  0.0                   |                  0.0                   |                9051.724                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               60576.923                |
           Wood Axe           |                1932.468                |                1932.468                |                  0.0                   |                 37.403                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 51.667                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Hatchet            |                1918.182                |                1918.182                |                  0.0                   |                  20.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 95.909                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Iron Chopper         |                1260.606                |                1260.606                |                  0.0                   |                 9.051                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                139.286                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Explorer's Axe        |                1272.727                |                1272.727                |                  0.0                   |                  0.97                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 1312.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Bardiche           |                2108.037                |                2108.037                |                  0.0                   |                 8.994                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                234.375                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Molten Voulge         |                1462.348                |                1462.348                |                  0.0                   |                 6.019                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                242.963                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Tomahawk           |                1756.697                |                1756.697                |                  0.0                   |                 5.481                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.124                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                320.513                 |                  0.0                   |                  0.0                   |                  0.0                   |                 1562.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Companion Axe         |                1346.801                |                1346.801                |                  0.0                   |                 5.118                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.898                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                263.158                 |                  0.0                   |                  0.0                   |                  0.0                   |                 1500.0                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Battleaxe           |                1763.085                |                1763.085                |                  0.0                   |                 4.643                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.175                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                379.747                 |                  0.0                   |                  0.0                   |                  0.0                   |                 1500.0                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Dwarven Greataxe       |                2534.435                |                2534.435                |                  0.0                   |                  3.32                  |                  0.0                   |                  0.0                   |                 0.529                  |                 0.852                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                763.274                 |                  0.0                   |                  0.0                   |                4791.667                |                2974.138                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Stonesplitter         |                2688.423                |                2688.423                |                  0.0                   |                 3.083                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.771                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                871.976                 |                  0.0                   |                  0.0                   |                  0.0                   |                3487.903                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Raider Axe          |                3263.403                |                3263.403                |                  0.0                   |                 2.126                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.709                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.075                  |                  0.0                   |                1535.088                |                  0.0                   |                  0.0                   |                  0.0                   |                4605.263                |                  0.0                   |                  0.0                   |                  0.0                   |                43750.0                 |
         Executioner          |                3714.565                |                3714.565                |                  0.0                   |                 2.033                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.699                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.104                  |                  0.0                   |                1826.923                |                  0.0                   |                  0.0                   |                  0.0                   |                5317.164                |                  0.0                   |                  0.0                   |                  0.0                   |                35625.0                 |
          Purgatory           |                3931.204                |                3931.204                |                  0.0                   |                 1.808                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.507                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.114                  |                  0.0                   |                2173.913                |                  0.0                   |                  0.0                   |                  0.0                   |                7758.621                |                  0.0                   |                  0.0                   |                  0.0                   |               34615.385                |
       Axe of The Fifth       |                4531.805                |                4531.805                |                  0.0                   |                 1.808                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.507                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.114                  |                  0.0                   |                2506.039                |                  0.0                   |                  0.0                   |                  0.0                   |                8943.966                |                  0.0                   |                  0.0                   |                  0.0                   |               39903.846                |
           Eclipsis           |               10400.944                |               10400.944                |                  0.0                   |                 2.993                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.851                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.232                  |                  0.0                   |                3475.216                |                  0.0                   |                  0.0                   |                  0.0                   |               12215.909                |                  0.0                   |                  0.0                   |                  0.0                   |               44791.667                |
        Terra Tyrannis        |                9252.003                |                9252.003                |                  0.0                   |                 2.667                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.762                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.218                  |                  0.0                   |                3469.388                |                  0.0                   |                  0.0                   |                  0.0                   |               12142.857                |                  0.0                   |                  0.0                   |                  0.0                   |                42500.0                 |
             Shiv             |                945.455                 |                945.455                 |                 43.636                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 21.667                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Ice Pick           |                 1200.0                 |                 1200.0                 |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 123.75                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Swift Blade          |                921.212                 |                921.212                 |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  95.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
            Kunai             |                1641.026                |                1641.026                |                 11.935                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 137.5                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Stealth Knife         |                1152.862                |                1152.862                |                 15.084                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 76.429                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Balisong           |                2105.628                |                2105.628                |                 10.159                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                207.273                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Erudite Vector        |                2370.37                 |                2370.37                 |                  8.62                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 275.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Ritual Dagger         |                1477.512                |                1477.512                |                 5.954                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.191                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                248.143                 |                  0.0                   |                  0.0                   |                  0.0                   |                1240.714                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Assassin Tanto        |                2244.669                |                2244.669                |                 6.105                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.437                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                367.647                 |                  0.0                   |                  0.0                   |                  0.0                   |                 1562.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Kingsguard          |                1840.629                |                1840.629                |                  5.1                   |                  0.0                   |                  0.0                   |                  0.0                   |                 1.293                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                360.915                 |                  0.0                   |                  0.0                   |                  0.0                   |                1423.611                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Fishmonger          |                2552.801                |                2552.801                |                 3.291                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.823                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 775.67                 |                  0.0                   |                  0.0                   |                  0.0                   |                3102.679                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Troll Tooth          |                3434.343                |                3434.343                |                 2.311                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.598                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                1486.014                |                  0.0                   |                  0.0                   |                  0.0                   |                5743.243                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
